"","Ticker_x","SimFinId","Report.Date","Fiscal.Year","Current.Ratio","Quick.Ratio","Total.Debt.Ratio","Debt.to.Asset.Ratio","Cash.Coverage.Ratio","Interest.Coverage.Ratio","Current.Ratio.T","Current.Ratio.out","Quick.Ratio.T","Quick.Ratio.Out","Total.Debt.Ratio.T","Total.Debt.Ratio.out","Debt.to.Asset.Ratio.T","Debt.to.Asset.Ratio.out","Cash.Coverage.Ratio.T","Cash.Coverage.Ratio.out","Interest.Coverage.Ratio.T","Interest.Coverage.Ratio.out"
"26","AAOI",671827,"12/31/13",2013,1.995443,1.333052,0.43203,0.235086,3.036239,-0.300686,0.690866080829078,0,0.287471050188149,0,-0.839260248704736,0,-1.44780387433726,0,8.32658610155754,0,8.66521644784016,0
"27","AAOI",671827,"12/31/14",2014,2.329973,1.480484,0.373812,0.155975,72.31921174,48.54982858,0.845856679527635,0,0.392369061341368,0,-0.984002281747224,0,-1.85805954098529,0,8.34321335633506,0,8.67360699334915,0
"28","AAOI",671827,"12/31/15",2015,2.077862,1.008842,0.395199,0.237334,33.149275,19.491304,0.731339480462169,0,0.00880313842602534,0,-0.928365843475998,0,-1.43828684725345,0,8.33384693579772,0,8.66862440037516,0
"29","AAOI",671827,"12/31/16",2016,2.627049,1.667984,0.294535,0.132869,25.311565,15.659864,0.96586116298472,0,0.511615711564409,0,-1.22235743745121,0,-2.01839159856062,0,8.33196218186634,0,8.66796557648348,0
"30","AAOI",671827,"12/31/17",2017,3.248529,2.019885,0.264265,0.109406,168.496075,136.500785,1.17820227849577,0,0.703040579099431,0,-1.3308028914152,0,-2.21268954589122,0,8.36584599565261,0,8.68853818977391,0
"31","AAOI",671827,"12/31/18",2018,2.509429,1.113178,0.29506,0.179755,22.973301,-13.067961,0.920055237224068,0,0.107218987628461,0,-1.22057655349272,0,-1.71616046635617,0,8.33139920495061,0,8.66301189176275,0
"49","AAPL",111052,"9/30/09",2009,2.742482,2.331392,0.333909,0.123058,39.101871,36.801024,1.00886334979111,0,0.846465514083107,0,-1.09688677821789,0,-2.09509949003654,0,8.33527600189482,0,8.67159544371077,0
"50","AAPL",111052,"9/30/10",2010,2.011292,1.502268,0.364338,0.129437,38.613161,36.570315,0.698777301642155,0,0.406975966187076,0,-1.00967327077257,0,-2.04456100270197,0,8.33515875204013,0,8.67155590276322,0
"51","AAPL",111052,"9/30/11",2011,1.608438,1.119807,0.341632,0.11943,50.169345,47.613251,0.475263521725584,0,0.113156349029388,0,-1.07402114464013,0,-2.1250248533018,0,8.33792760319012,0,8.67344678730761,0
"52","AAPL",111052,"9/30/12",2012,1.495849,1.03936,0.328596,0,68.929008,65.068993,0.402693938629045,0,0.0386051391110668,0,-1.11292624630759,0,-Inf,0,8.34240614072921,0,8.67642846442014,0
"53","AAPL",111052,"9/30/13",2013,1.678639,1.228824,0.403145,0.081932,77.105373,67.761069,0.51798334604378,0,0.206057614470538,0,-0.908458980259654,0,-2.50186564404373,0,8.34435184460972,0,8.67688751720427,0
"54","AAPL",111052,"9/30/14",2014,1.080113,0.670423,0.51886,0.152239,48.922013,42.491231,0.0770656652924599,0,-0.399846422526871,0,-0.656121181723498,0,-1.88230362459175,0,8.33762911240352,0,8.67257018718207,0
"55","AAPL",111052,"9/30/15",2015,1.108771,0.725096,0.58892,0.221557,41.874948,36.160274,0.103252194710315,0,-0.321451219100291,0,-0.529464927984929,0,-1.50707538625915,0,8.33594105011364,0,8.67148562245346,0
"56","AAPL",111052,"9/30/16",2016,1.352669,1.049401,0.601322,0.27055,31.084432,26.454535,0.302079677721704,0,0.0482195251955016,0,-0.508624714211937,0,-1.30729835489339,0,8.33335074233171,0,8.66982063198912,0
"57","AAPL",111052,"9/30/17",2017,1.276063,0.913117,0.642845,0.308218,24.408553,20.941221,0.243779556744542,0,-0.0908912576380708,0,-0.441851641346325,0,-1.17694795416754,0,8.33174480389832,0,8.66887360338551,0
"58","AAPL",111052,"9/30/18",2018,1.132926,0.771912,0.707029,0.31303,25.858129,22.41158,0.124803666585412,0,-0.258884725091979,0,-0.346683595539242,0,-1.16145624638961,0,8.33209373077765,0,8.66912625643813,0
"141","ABTL",445589,"12/31/11",2011,2.692558,2.575443,0.358251,0.128886,0.328577,0.255022,0.990491671134873,0,0.946021558153668,0,-1.02652142093093,0,-2.04882698626224,0,8.32593064128138,0,8.66531229299172,0
"142","ABTL",445589,"12/31/12",2012,2.75858,2.70486,0.367994,0.122648,0.359799,0.284488,1.01471605457863,0,0.995050154951663,0,-0.99968864529395,0,-2.09843681497398,0,8.32593820183058,0,8.66531737485256,0
"143","ABTL",445589,"12/31/13",2013,2.875029,2.563531,0.26493,0.104884,0.405632,0.340655,1.05606276115496,0,0.941385605010318,0,-1.32828963883332,0,-2.25490030142864,0,8.32594930039627,0,8.66532706163631,0
"144","ABTL",445589,"12/31/14",2014,1.85702,1.598772,0.338819,0.171839,0.557757,0.481271,0.618973052371807,0,0.469235834566823,0,-1.08228923749333,0,-1.76119728704542,0,8.3259861369298,0,8.66535131241827,0
"145","ABTL",445589,"12/31/15",2015,2.411558,2.203495,0.295511,0.175795,0.798671,0.661488,0.880273011657937,0,0.790044736180017,0,-1.21904921778652,0,-1.73843673554622,0,8.3260444706314,0,8.66538239197015,0
"146","ABTL",445589,"12/31/16",2016,2.672666,2.481729,0.276329,0.139538,0.931277,0.682762,0.983076476113412,0,0.908955494680965,0,-1.28616309418194,0,-1.96941831338156,0,8.3260765777279,0,8.66538606074113,0
"147","ABTL",445589,"12/31/17",2017,3.162725,3.054938,0.277098,0.096865,0.662202,0.398527,1.15143399776792,0,1.1167592978186,0,-1.28338404475022,0,-2.33443702244323,0,8.32601142713347,0,8.66533704237298,0
"185","ACIA",353923,"12/31/16",2016,5.731827,5.18834,0.1589,1.020834,72.31921174,48.54982858,1.74603432807291,0,1.64641380015878,0,-1.83948020543947,0,0.0206199402637469,0,8.34321335633506,0,8.67360699334915,0
"186","ACIA",353923,"12/31/17",2017,5.223262,4.274753,0.17865,0.878242,72.31921174,48.54982858,1.65312211093777,0,1.45272632294175,0,-1.72232669451272,0,-0.129833096901315,0,8.34321335633506,0,8.67360699334915,0
"187","ACLS",670942,"12/31/11",2011,4.466486,1.726239,0.203124,1.925587,72.31921174,48.54982858,1.49660196970953,0,0.545945053527,0,-1.59393864898718,0,0.655230856321435,0,8.34321335633506,0,8.67360699334915,0
"188","ACLS",670942,"12/31/13",2013,5.214552,2.337197,0.246402,0.064226,-20.280872,-32.569007,1.65145317872233,0,0.848952348110123,0,-1.4007909304726,0,-2.7453471658466,0,8.32092745559162,0,8.65963519018629,0
"189","ACLS",670942,"12/31/14",2014,3.553591,1.411705,0.260492,2.348033,-3.327869,-7.753134,1.26795864151187,0,0.344798193730745,0,-1.34518312843303,0,0.853577956381567,0,8.32504482069499,0,8.66393020627298,0
"190","ACLS",670942,"12/31/15",2015,5.182947,2.60902,0.347855,1.891724,5.212744,4.221498,1.6453738134173,0,0.958974671897536,0,-1.05596955270401,0,0.637488582610111,0,8.32711267011666,0,8.66599614009882,0
"191","ACLS",670942,"12/31/16",2016,5.043452,2.542666,0.33344,1.766815,4.377042,3.496381,1.61809076826711,0,0.933213136878104,0,-1.09829233985719,0,0.569178490629484,0,8.32691051894887,0,8.66587115998322,0
"192","ACLS",670942,"12/31/17",2017,4.285381,2.632323,0.275713,1.117099,11.990924,10.855911,1.45520946291619,0,0.967866726298284,0,-1.28839480936183,0,0.110735146419258,0,8.32875076200289,0,8.66713891324351,0
"193","ACLS",670942,"12/31/18",2018,4.668059,3.020342,0.255459,0.997811,23.627247,21.55248,1.54074335359036,0,1.10537007000816,0,-1.36469335188233,0,-0.0021913993626093,0,8.33155668552476,0,8.66897864429824,0
"220","ADBE",14099,"12/31/09",2009,2.928915,2.741512,0.328425,0.13732,297.68007,214.785148,1.07463204728111,0,1.00850959301817,0,-1.11344677762657,0,-1.98544131039265,0,8.3954616363571,0,8.70164333915223,0
"221","ADBE",14099,"12/31/10",2010,3.011035,2.829676,0.362205,0.187008,22.985637,17.845554,1.10228387347721,0,1.04016221746843,0,-1.01554492910022,0,-1.67660388229396,0,8.33140217588468,0,8.66834146349624,0
"222","ADBE",14099,"12/31/11",2011,3.015282,2.835085,0.356802,0.168421,21.915357,17.879556,1.10369335814358,0,1.04207191909357,0,-1.03057427291083,0,-1.78128848186081,0,8.33114438272096,0,8.66834730992051,0
"223","ADBE",14099,"12/31/12",2012,3.457487,3.267607,0.336152,0.150211,21.886289,17.444456,1.24054202460755,0,1.18405791272836,0,-1.09019184035997,0,-1.89571430664795,0,8.33113738032542,0,8.66827249470606,0
"224","ADBE",14099,"12/31/13",2013,2.651941,2.473422,0.352173,0.145851,11.412677,6.654322,0.975291824715657,0,0.905602616925221,0,-1.04363274684671,0,-1.92516972633264,0,8.32861112091823,0,8.66641534403851,0
"225","ADBE",14099,"12/31/14",2014,1.845038,1.736382,0.371777,0.140399,12.491763,7.241813,0.612499873486354,0,0.551803638114519,0,-0.989461066823985,0,-1.96326690992291,0,8.32887169404381,0,8.66651654925062,0
"226","ADBE",14099,"12/31/15",2015,2.178347,2.105251,0.402925,0.162643,19.383756,14.094696,0.778566332298112,0,0.74443469993082,0,-0.909004838573355,0,-1.81619766418534,0,8.33053434359976,0,8.66769631774395,0
"227","ADBE",14099,"12/31/16",2016,2.077003,1.989708,0.415241,0.149024,25.888376,21.18188,0.730925989283881,0,0.687987894301622,0,-0.878896204414158,0,-1.90364791218217,0,8.33210101022477,0,8.6689149603978,0
"228","ADBE",14099,"12/31/17",2017,2.054685,1.995132,0.417988,0.129436,33.521841,29.140278,0.720122551527369,0,0.690710213566526,0,-0.872302555003438,0,-2.04456872849802,0,8.33393643930343,0,8.67028164064771,0
"229","ADBE",14099,"12/31/18",2018,1.129248,1.056593,0.501184,0.21977,35.710327,31.827716,0.121551924464003,0,0.0550495807024722,0,-0.690781979853665,0,-1.51517373404402,0,8.33446202922545,0,8.67074272762144,0
"233","ADI",65917,"10/31/09",2009,6.442194,5.475783,0.249379,0.112668,72.31921174,48.54982858,1.86286916532672,0,1.70033527917571,0,-1.3887814513664,0,-2.18330983791773,0,8.34321335633506,0,8.67360699334915,0
"234","ADI",65917,"10/31/10",2010,5.406647,4.778702,0.260836,0.09255,1752.47973,1548.238176,1.68762912252795,0,1.56416896151034,0,-1.34386342164603,0,-2.38000623996263,0,8.67960616940135,0,8.90194364839689,0
"235","ADI",65917,"10/31/11",2011,8.354869,7.506363,0.28085,0.167949,118.231509,106.51041,2.12284448269045,0,2.01575106085441,0,-1.2699345600037,0,-1.78409491709458,0,8.35408150015227,0,8.68347181410185,0
"236","ADI",65917,"10/31/12",2012,8.943768,8.075469,0.258879,0.146183,78.71054,69.537915,2.19095697689921,0,2.08883094791747,0,-1.35139450791304,0,-1.92289601749716,0,8.34473337699715,0,8.67719038957051,0
"237","ADI",65917,"10/31/13",2013,9.59213,8.778178,0.257323,0.136677,62.273259,54.578228,2.26094297059417,0,2.17226886902809,0,-1.35742317387214,0,-1.99013480105407,0,8.34081949314995,0,8.67463756587121,0
"238","ADI",65917,"10/31/14",2014,5.376001,4.601996,0.306398,0.127234,42.359736,36.080934,1.68194478923274,0,1.52649012242549,0,-1.18287036855215,0,-2.06172736819573,0,8.33605726812102,0,8.67147202314598,0
"239","ADI",65917,"10/31/15",2015,3.663437,3.138921,0.281326,0.123242,62.015702,49.940723,1.29840177780017,0,1.1438791102924,0,-1.26824113974473,0,-2.09360537688811,0,8.3407580441498,0,8.67384486509233,0
"240","ADI",65917,"10/31/16",2016,6.354128,5.790274,0.35189,0.21733,19.570437,16.464093,1.8491046804351,0,1.75617961343585,0,-1.04443665222234,0,-1.52633834326453,0,8.33057934077497,0,8.66810390129052,0
"241","ADI",65917,"10/31/17",2017,1.472963,1.087989,0.519351,0.371363,9.006549,6.357839,0.387276018359851,0,0.0843310380885238,0,-0.655175323826393,0,-0.990575258074164,0,8.32802985469203,0,8.66636426596297,0
"242","ADI",65917,"10/31/18",2018,1.502076,1.035679,0.462657,0.30967,12.985013,9.712927,0.406848151262912,0,0.0350572502653925,0,-0.770769320173524,0,-1.17224806463169,0,8.3289907793609,0,8.66694212811365,0
"273","ADSK",185035,"1/31/11",2010,1.959659,1.815341,0.397883,0.338416,72.31921174,48.54982858,0.672770478514384,0,0.596273328857684,0,-0.921597286764552,0,-1.08347937104392,0,8.34321335633506,0,8.67360699334915,0
"274","ADSK",185035,"1/31/12",2011,1.970913,1.831111,0.422693,0.321827,72.31921174,48.54982858,0.678496887165942,0,0.604922886465493,0,-0.8611091317547,0,-1.13374114489815,0,8.34321335633506,0,8.67360699334915,0
"275","ADSK",185035,"1/31/13",2012,1.987108,1.893303,0.416662,0,72.31921174,48.54982858,0.68668031538902,0,0.63832292280985,0,-0.87547993741662,0,-Inf,0,8.34321335633506,0,8.67360699334915,0
"276","ADSK",185035,"1/31/14",2013,2.44553,2.346843,0.525764,0.173057,72.31921174,48.54982858,0.894261868352004,0,0.853071020724274,0,-0.642902836128091,0,-1.75413425898211,0,8.34321335633506,0,8.67360699334915,0
"277","ADSK",185035,"1/31/15",2014,2.645824,2.511246,0.507835,0.162437,7.153846,3.28382,0.972982547985423,0,0.920779044313484,0,-0.677598687313229,0,-1.81746504469213,0,8.32758205310441,0,8.66583452031646,0
"278","ADSK",185035,"1/31/16",2015,1.88127,1.825581,0.706344,0.269741,6.810185,0.060185,0.631947080687774,0,0.601898292534267,0,-0.347652908033019,0,-1.31029303962663,0,8.32749896758143,0,8.66527868973128,0
"279","ADSK",185035,"1/31/17",2016,1.125927,1.076325,0.847106,0.310685,-11.566116,-17.318182,0.11860669635476,0,0.0735524607429682,0,-0.165929444580695,0,-1.16897574183031,0,8.32304612019243,0,8.6622769163012,0
"280","ADT",54871,"9/30/13",2013,0.765172,0.295515,0.564007,0.340563,14.529915,6.478632,-0.267654633826255,0,-1.21903568200298,0,-0.572688616213581,0,-1.0771551484806,0,8.3293636732143,0,8.66638507648955,0
"281","ADT",54871,"9/30/14",2014,0.577684,0.235876,0.703479,0.483458,8.9375,3.520833,-0.548728272614464,0,-1.44444903576876,0,-0.351717253619504,0,-0.726790834459634,0,8.32801316902375,0,8.665875374749,0
"282","ADT",54871,"9/30/15",2015,0.606383,0.273556,0.727858,0.50289,8.6,3.117073,-0.500243479347735,0,-1.29624892487991,0,-0.317649304756196,0,-0.687383820670841,0,8.32793160825262,0,8.66580577678285,0
"305","AEHR",178053,"5/31/12",2012,2.272879,0.969426,0.444244,43.206949,-1004,-1126.75,0.821047309841481,0,-0.0310511352166867,0,-0.811381317947417,0,NA,1,8.04726955897067,0,8.44918198079969,0
"306","AEHR",178053,"5/31/13",2013,1.859498,0.869321,0.544966,45.743901,-60.918367,-67.489796,0.620306558824464,0,-0.140042831820906,0,-0.607031871586039,0,NA,1,8.3109882762154,0,8.65355984658258,0
"307","AEHR",178053,"5/31/14",2014,2.281219,1.016025,0.425031,0,24.538462,19.115385,0.824709949215237,0,0.0158979551527727,0,-0.855593171541328,0,-Inf,0,8.33177607921065,0,8.66855977954006,0
